prefix,project,
"ALGHUD","ALG HUD: Airlift Group",
"COSTP","Costpoint Integration: Airlift Group",
"FISAR","FISAR: Airlift Group",
"FLTSTA","Fleet Status: Airlift Group",
"FLTSTR","Fleet Strategy: Airlift Group",
"RSCR","Resource Mgmt & Optimization: Airlift Group",
